timestamp,open,high,low,close,volume
2021-02-20T00:00:00.000Z,55983.57,56596,55398.63,55741.88,4266.40329904
2021-02-20T04:00:00.000Z,55741.87,56192,55236,55255.31,2054.76256609
2021-02-20T08:00:00.000Z,55247.41,56356,55034.06,56356,1583.96572359
2021-02-20T12:00:00.000Z,56356,57563.57,55850,56213.09,5111.69989909
2021-02-20T16:00:00.000Z,56228.76,57500,56219.67,57027.23,4017.55336519
2021-02-20T20:00:00.000Z,57027.23,57090.39,54000.1,55923.52,5103.43709194
2021-02-21T00:00:00.000Z,55921.44,56899.52,55531.23,56543.93,2093.38585467
2021-02-21T04:00:00.000Z,56543.92,56979.62,55954.37,56120.07,1314.22553865
2021-02-21T08:00:00.000Z,56121.16,57800,55869.99,57306.84,1924.06594337
2021-02-21T12:00:00.000Z,57306.84,57613.85,56639.93,57377.4,1936.59609289
2021-02-21T16:00:00.000Z,57377.39,58367,57085,58092.37,3120.38310246
2021-02-21T20:00:00.000Z,58093.71,58264.65,57019.56,57489.16,3141.77791239
2021-02-22T00:00:00.000Z,57489.16,57577.69,55840,55919.79,4819.45479916
2021-02-22T04:00:00.000Z,55922.98,56586.29,55150,56465.71,3323.93535901
2021-02-22T08:00:00.000Z,56465.72,56629.37,53525,54483.4,4654.73583517
2021-02-22T12:00:00.000Z,54482.84,54608.06,46616,53286.14,21773.96236506
2021-02-22T16:00:00.000Z,53275.71,53888.69,51559.55,53620.75,8490.30256026
2021-02-22T20:00:00.000Z,53622,55043.63,53297.68,54142.13,6386.77483913
2021-02-23T00:00:00.000Z,54125.67,54206.22,50900,51850.67,6756.68532154
2021-02-23T04:00:00.000Z,51844.07,52294.61,48543.67,49634.54,12065.47322764
2021-02-23T08:00:00.000Z,49619.46,49963.79,44888.08,46339.69,16396.09959411
2021-02-23T12:00:00.000Z,46327.55,49705,45735.04,48624.37,17749.26674258
2021-02-23T16:00:00.000Z,48624.38,49250,45438.98,45450.25,10913.41677506
2021-02-23T20:00:00.000Z,45464.03,48934.86,45200,48899.99,8419.64406707
2021-02-24T00:00:00.000Z,48899.99,51000,47002,50929.21,7554.20275915
2021-02-24T04:00:00.000Z,50929.46,51398,49436.23,50082.62,4659.60124512
2021-02-24T08:00:00.000Z,50090.93,51415.41,49782.86,50380,2444.12334972
2021-02-24T12:00:00.000Z,50379.99,51332.84,48500,49850.22,7080.54361864
2021-02-24T16:00:00.000Z,49850,50144.92,48833.24,48990.27,4379.81172214
2021-02-24T20:00:00.000Z,48990.27,49788,48078.62,49737.82,4613.86680022
2021-02-25T00:00:00.000Z,49737.81,50888,49571.07,50273.95,3431.70521311
